epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.87651,1.72705,4.40696,1.37705,0.00183,0.05051,0.02788,0.02047,1.50749,4.17739,1.15371,6.003e-05,6.003e-05,6.003e-05
2,4.94054,1.4958,4.0796,1.16391,0.01377,0.47475,0.16361,0.10541,1.37925,4.02924,1.01134,0.000126103,0.000126103,0.000126103
3,7.02279,1.3763,3.48617,1.08041,0.01817,0.64773,0.27801,0.17663,1.36691,3.96348,1.01386,0.000191515,0.000191515,0.000191515
4,9.11005,1.38166,2.82551,1.07388,0.01829,0.57071,0.36859,0.24302,1.28917,3.77082,0.95641,0.000256267,0.000256267,0.000256267
5,11.2008,1.37192,2.18695,1.05667,0.02951,0.59848,0.46609,0.31154,1.26088,3.6409,0.97458,0.000320359,0.000320359,0.000320359
6,13.2355,1.33761,1.64118,1.06436,0.04087,0.71717,0.5336,0.36762,1.19292,3.42028,0.93279,0.00038379,0.00038379,0.00038379
7,15.2772,1.29578,1.42046,1.04794,0.05973,0.82828,0.66892,0.44292,1.25188,3.15434,0.98877,0.000446561,0.000446561,0.000446561
8,17.3099,1.22759,1.17197,1.02513,0.99446,0.15005,0.72741,0.47253,1.25237,2.78079,0.99835,0.000508672,0.000508672,0.000508672
9,19.3477,1.19107,1.06737,0.99908,0.99077,0.31685,0.9276,0.6308,1.16931,2.43057,0.9797,0.000570122,0.000570122,0.000570122
10,21.3881,1.17545,0.95792,1.00364,0.92582,0.4678,0.95637,0.65759,1.18192,2.07163,0.99642,0.000630912,0.000630912,0.000630912
11,23.4282,1.12496,0.88155,1.0012,0.93968,0.55131,0.98003,0.66071,1.16039,1.78032,0.97871,0.000633983,0.000633983,0.000633983
12,25.4614,1.11257,0.84493,0.99284,0.92853,0.63619,0.96921,0.64904,1.23468,1.62841,1.01429,0.000630682,0.000630682,0.000630682
13,27.4831,1.06578,0.79888,0.98242,0.88632,0.86182,0.98551,0.68617,1.21479,1.25938,1.0089,0.00062738,0.00062738,0.00062738
